model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
dlinear,42.0,O3,6,27.017805099487305,22.568281173706055,0.12958211789851104,91.77738189697266,4211
dlinear,42.0,O3,24,33.87685775756836,27.133060455322266,0.34292896804872297,79.96546936035156,4238
dlinear,42.0,O3,72,34.411376953125,27.369884490966797,0.32082676118645725,79.24154663085938,4237
dlinear,42.0,CO,6,869.619140625,510.6906433105469,0.5516402144143413,46.96296310424805,4238
dlinear,42.0,CO,24,1153.0677490234375,722.7838745117188,0.2735875075254073,54.09054183959961,4265
dlinear,42.0,CO,72,1309.357421875,815.3363037109375,0.05981666334129443,58.71173095703125,4264
dlinear,42.0,SO2,6,9.5888671875,5.767617225646973,0.43681837631660037,66.87582397460938,3414
dlinear,42.0,SO2,24,12.552562713623047,8.428403854370117,0.15118659800951462,78.30887603759766,3453
dlinear,42.0,SO2,72,13.304346084594727,9.345480918884277,0.02634252230582268,82.92799377441406,3452
dlinear,43.0,PM2.5,6,51.94292068481445,34.374813079833984,0.5962490171931869,58.53022384643555,4282
dlinear,43.0,PM2.5,24,80.24817657470703,57.622650146484375,0.20256254242514893,71.41820526123047,4295
dlinear,43.0,PM2.5,72,90.21023559570312,66.07875061035156,-0.01126499732714592,78.73103332519531,4294
dlinear,43.0,PM10,6,63.98747253417969,42.557960510253906,0.5087051883698233,54.062660217285156,4295
dlinear,43.0,PM10,24,98.1797866821289,70.1068115234375,0.11740181009586681,63.99370574951172,4310
dlinear,43.0,PM10,72,106.44538879394531,78.8531265258789,-0.03770414591555138,70.03543853759766,4309
dlinear,43.0,NO2,6,23.2521915435791,17.269033432006836,0.4827416934401014,42.189674377441406,4083
dlinear,43.0,NO2,24,33.29432678222656,25.323211669921875,0.21173504929325682,49.60691452026367,4295
dlinear,43.0,NO2,72,34.64034652709961,26.613210678100586,0.13574361486038822,51.31885528564453,4294
dlinear,43.0,O3,6,24.783157348632812,19.60384178161621,0.26761244875210477,86.46104431152344,4211
dlinear,43.0,O3,24,33.47110366821289,27.046354293823242,0.35857459881140463,78.85184478759766,4238
dlinear,43.0,O3,72,34.36569595336914,27.66050910949707,0.3226287883587312,79.33931732177734,4237
dlinear,43.0,CO,6,866.9015502929688,532.6069946289062,0.5544381486596454,47.25126266479492,4238
dlinear,43.0,CO,24,1147.8836669921875,753.154052734375,0.28010453158893645,55.80261993408203,4265
dlinear,43.0,CO,72,1332.7911376953125,852.6926879882812,0.02586230851947191,60.256229400634766,4264
dlinear,43.0,SO2,6,9.625653266906738,5.902584075927734,0.4324889516131565,83.79872131347656,3414
dlinear,43.0,SO2,24,12.397637367248535,8.424687385559082,0.1720095672785812,76.99283599853516,3453
dlinear,43.0,SO2,72,13.557927131652832,9.900168418884277,-0.011127116797378989,82.21786499023438,3452
dlinear,44.0,PM2.5,6,50.56510925292969,30.97576332092285,0.6173842999874819,52.302825927734375,4282
dlinear,44.0,PM2.5,24,80.56232452392578,56.891944885253906,0.1963068583489579,71.79899597167969,4295
dlinear,44.0,PM2.5,72,89.76087951660156,65.61738586425781,-0.0012155755734712947,78.91777801513672,4294
dlinear,44.0,PM10,6,62.79037094116211,40.0440788269043,0.5269158655839394,51.32423782348633,4295
dlinear,44.0,PM10,24,98.06938934326172,66.91838073730469,0.11938551404946596,62.794281005859375,4310
dlinear,44.0,PM10,72,105.22029113769531,77.49270629882812,-0.0139552915131409,69.458251953125,4309
dlinear,44.0,NO2,6,23.426021575927734,17.833696365356445,0.47497877397644406,43.69661331176758,4083
dlinear,44.0,NO2,24,33.02740478515625,25.600072860717773,0.22432353654810366,50.21131134033203,4295
dlinear,44.0,NO2,72,34.69490051269531,27.41453742980957,0.13301939485632908,53.084266662597656,4294
dlinear,44.0,O3,6,24.395971298217773,19.19542121887207,0.29031783074917605,85.94902801513672,4211
dlinear,44.0,O3,24,35.15987014770508,26.66348648071289,0.29221625462022693,82.62165832519531,4238
dlinear,44.0,O3,72,35.14329147338867,28.889339447021484,0.29162808660776507,80.43994903564453,4237
dlinear,44.0,CO,6,870.5654907226562,511.6201171875,0.5506638293733208,44.75711441040039,4238
dlinear,44.0,CO,24,1174.4306640625,749.4806518554688,0.24642153312953385,55.573307037353516,4265
dlinear,44.0,CO,72,1296.406494140625,857.6096801757812,0.07832351196179177,61.78751754760742,4264
dlinear,44.0,SO2,6,9.539677619934082,5.895167827606201,0.442581635614267,66.83769226074219,3414
dlinear,44.0,SO2,24,12.442667007446289,9.034460067749023,0.16598399538212072,78.65473937988281,3453
dlinear,44.0,SO2,72,12.951436996459961,9.07793140411377,0.0773114815878615,79.33502197265625,3452
patchtst,42.0,PM2.5,6,58.05116271972656,36.75614929199219,0.4957072424256339,60.72782897949219,4282
patchtst,42.0,PM2.5,24,79.93927764892578,54.412899017333984,0.20868992754597604,69.99156188964844,4295
patchtst,42.0,PM2.5,72,87.4583511352539,60.30282211303711,0.0494917294326257,74.49172973632812,4294
patchtst,42.0,PM10,6,69.15625,43.760841369628906,0.42612784647819735,57.323909759521484,4295
patchtst,42.0,PM10,24,95.21587371826172,63.9953727722168,0.16988634746175713,60.475276947021484,4310
patchtst,42.0,PM10,72,102.4109878540039,70.38426971435547,0.03946560316669534,65.34234619140625,4309
patchtst,42.0,NO2,6,26.136146545410156,19.96584129333496,0.34647396120186336,49.05044937133789,4083
patchtst,42.0,NO2,24,32.07422637939453,24.582359313964844,0.26844984046569464,48.969398498535156,4295
patchtst,42.0,NO2,72,33.937232971191406,25.732622146606445,0.17047219925225054,50.788082122802734,4294
patchtst,42.0,O3,6,25.29442596435547,20.02285385131836,0.2370828828030349,88.86250305175781,4211
patchtst,42.0,O3,24,34.5623779296875,27.162214279174805,0.31606746384150386,83.18824005126953,4238
patchtst,42.0,O3,72,35.94245529174805,28.82077980041504,0.2590447902300671,82.3355941772461,4237
