candidate,seed,horizon,RMSE,MAE
validation_h6_rrelu_d128_a1000_g2,43,6,65.74674224853516,32.06810760498047
validation_h6_rrelu_d128_a1000_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d128_a1000_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d128_a1000_g2,44,6,66.79850006103516,33.679649353027344
validation_h6_rrelu_d128_a1000_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d128_a1000_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d256_a10_g0,42,6,67.82081604003906,35.639381408691406
validation_h6_rrelu_d256_a10_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d256_a10_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d256_a10_g0,43,6,69.85282897949219,36.094818115234375
validation_h6_rrelu_d256_a10_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d256_a10_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d256_a10_g0,44,6,69.46036529541016,35.70741653442383
validation_h6_rrelu_d256_a10_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d256_a10_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d256_a10_g2,42,6,68.51852416992188,36.61993408203125
validation_h6_rrelu_d256_a10_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d256_a10_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d256_a10_g2,43,6,72.67205047607422,38.23824691772461
validation_h6_rrelu_d256_a10_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d256_a10_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d256_a10_g2,44,6,73.06939697265625,37.185054779052734
validation_h6_rrelu_d256_a10_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d256_a10_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d256_a100_g0,42,6,66.8765869140625,33.4555778503418
validation_h6_rrelu_d256_a100_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d256_a100_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d256_a100_g0,43,6,66.57659912109375,32.67658996582031
validation_h6_rrelu_d256_a100_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d256_a100_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d256_a100_g0,44,6,67.4286880493164,34.534759521484375
validation_h6_rrelu_d256_a100_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d256_a100_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d256_a100_g2,42,6,66.57929229736328,33.644657135009766
validation_h6_rrelu_d256_a100_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d256_a100_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d256_a100_g2,43,6,66.97587585449219,33.32381820678711
validation_h6_rrelu_d256_a100_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d256_a100_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d256_a100_g2,44,6,67.07954406738281,33.990657806396484
validation_h6_rrelu_d256_a100_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d256_a100_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d256_a1000_g0,42,6,66.4276351928711,32.333133697509766
validation_h6_rrelu_d256_a1000_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d256_a1000_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d256_a1000_g0,43,6,66.17327117919922,32.840545654296875
validation_h6_rrelu_d256_a1000_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d256_a1000_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d256_a1000_g0,44,6,66.75509643554688,33.8493766784668
validation_h6_rrelu_d256_a1000_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d256_a1000_g0,44,72,77.21524810791016,44.73462677001953
