model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
gru,44.0,CO,6,2.089398145675659,0.8324916958808899,0.4028866499793353,47.22962188720703,3950.0
gru,44.0,CO,24,2.249397039413452,0.9549888968467712,0.29784154681969943,42.12043380737305,4017.0
gru,44.0,CO,72,2.427180051803589,1.095070481300354,0.16672796162333414,47.91389846801758,4021.0
gru,44.0,SO2,6,24.88640785217285,4.827145099639893,0.09772268467327894,56.86449432373047,3871.0
gru,44.0,SO2,24,25.406692504882812,6.3383941650390625,0.07379595125500082,61.87961196899414,3948.0
gru,44.0,SO2,72,26.28565216064453,6.760656833648682,0.03910626031647901,65.39618682861328,3950.0
gru_d,42.0,PM2.5,6,69.31134033203125,36.944149017333984,0.42834189487024044,47.88291931152344,4459.0
gru_d,42.0,PM2.5,24,76.40607452392578,42.38675308227539,0.44864648035779664,45.84895706176758,4569.0
gru_d,42.0,PM2.5,72,80.28545379638672,46.437904357910156,0.39169680626743864,49.97674560546875,4566.0
gru_d,42.0,PM10,6,86.74954986572266,50.155670166015625,0.47923127980324676,43.91585159301758,3707.0
gru_d,42.0,PM10,24,108.54969024658203,72.20903015136719,0.5342100567562009,45.59123229980469,3807.0
gru_d,42.0,PM10,72,118.79597473144531,80.99132537841797,0.4434069639173437,50.41120147705078,3797.0
gru_d,42.0,NO2,6,13.826000213623047,4.6166276931762695,0.605867559078854,65.80934143066406,3702.0
gru_d,42.0,NO2,24,16.20640754699707,5.852057456970215,0.5641371515652616,65.01220703125,3819.0
gru_d,42.0,NO2,72,17.044279098510742,6.852088928222656,0.5094022783232774,72.8064956665039,3817.0
gru_d,42.0,O3,6,8.229639053344727,4.721048831939697,0.7806765739118013,82.0570068359375,3633.0
gru_d,42.0,O3,24,11.962028503417969,5.377018928527832,0.6066944119336561,64.74418640136719,3639.0
gru_d,42.0,O3,72,13.260629653930664,6.083887577056885,0.5079798753376132,69.42938232421875,3633.0
gru_d,42.0,CO,6,1.8833750486373901,0.6385856866836548,0.5148366364091276,36.89503860473633,3950.0
gru_d,42.0,CO,24,2.0488293170928955,0.810352623462677,0.4174751189315813,40.583316802978516,4017.0
gru_d,42.0,CO,72,2.254960775375366,0.9579839110374451,0.2807815818056141,45.44807815551758,4021.0
gru_d,42.0,SO2,6,24.755474090576172,4.717103958129883,0.107191943993033,54.83195114135742,3871.0
gru_d,42.0,SO2,24,25.434497833251953,5.9866557121276855,0.07176758999626476,56.65379333496094,3948.0
gru_d,42.0,SO2,72,26.270061492919922,6.448424339294434,0.040245853581937885,60.60451889038086,3950.0
gru_d,43.0,PM2.5,6,68.56343078613281,35.853477478027344,0.4406124170199148,46.109466552734375,4459.0
gru_d,43.0,PM2.5,24,76.27355194091797,42.60713195800781,0.4505573953314854,46.04375076293945,4569.0
gru_d,43.0,PM2.5,72,80.8682632446289,48.50869369506836,0.3828331304644088,51.61354064941406,4566.0
gru_d,43.0,PM10,6,84.4193115234375,49.77729797363281,0.5068329663661859,43.559574127197266,3707.0
gru_d,43.0,PM10,24,106.8910140991211,71.66100311279297,0.5483361405185312,45.37403869628906,3807.0
gru_d,43.0,PM10,72,118.69164276123047,82.24681854248047,0.4443842224331954,50.92511749267578,3797.0
gru_d,43.0,NO2,6,14.419692039489746,5.105372428894043,0.5712925971861029,67.52940368652344,3702.0
gru_d,43.0,NO2,24,16.759578704833984,6.387351989746094,0.5338749183478083,70.09724426269531,3819.0
gru_d,43.0,NO2,72,17.546226501464844,7.091165542602539,0.4800809583332365,76.73513793945312,3817.0
gru_d,43.0,O3,6,8.003252983093262,4.579311370849609,0.7925771316532566,65.20549011230469,3633.0
gru_d,43.0,O3,24,11.865492820739746,5.6129560470581055,0.6130168790474043,65.63824462890625,3639.0
gru_d,43.0,O3,72,13.232436180114746,6.451193809509277,0.5100697922598415,71.25602722167969,3633.0
gru_d,43.0,CO,6,1.9060029983520508,0.6700078845024109,0.503108500725717,36.4373664855957,3950.0
gru_d,43.0,CO,24,2.0922656059265137,0.8984363675117493,0.3925136224954465,42.91456604003906,4017.0
gru_d,43.0,CO,72,2.2526535987854004,0.9270785450935364,0.28225266076563293,43.630306243896484,4021.0
gru_d,43.0,SO2,6,24.620250701904297,4.676788330078125,0.11691900336382022,55.23320007324219,3871.0
